Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
368,50000295,"Autoclave Tape 3/4""",1030,211020,ROL,,,0,0,0,0,0,,ซ,15,0,15,
369,50000295,"Autoclave Tape 3/4""",1030,200407,ROL,,,0,0,0,0,0,,,0,0,0,
370,50002502,Eucalyptus Oil 450ml,1030,20150116,BT,,,0,0,0,0,0,,,0,0,0,
371,50002610,Chloroxylenol4.8%5l (Dettol),1030,,ML,,,0,0,0,0,0,5/26, 05/2026 เพิ่มแผน,4000,0,4000,
372,50003911,น้ำยาล้างเครื่องมือแพทย์ ,1030,MAT_BUY,GAL,,,2,0,0,2,2,31/3/28, 03/2026,2,0,2,
373,50003911,น้ำยาล้างเครื่องมือแพทย์  ,2030,MAT_BUY,GAL,,,0,0,0,0,0,,,0,0,0,
374,50003912,"น้ำยาแช่เครื่องมือแพทย์,1L(Umonium Insl)",1030,MAT_BUY,GAL,,,0,0,0,0,0,,,0,0,0,
375,50004102,Enzymatic Cleaner,1030,MAT_BUY,GAL,,,2,0,2,0,0,,1/4/27,1,0,1,
376,50004104,"Surgical scrub, 500ml",1030,MAT_BUY,BT,,,5,0,0,5,5,30/06/2028," 2/3/26(4), 26/03/2027,03/05/2029",3,0,3,
377,50004171,กระดาษเช็ดพื้นผิวน้ำยาฆ่าเชื้อ,1030,MAT_BUY,CAN,,,36,0,0,36,36,01/06/2026,01/05/2026,24,0,24,
378,50004171,กระดาษเช็ดพื้นผิวน้ำยาฆ่าเชื้อ,2030,MAT_BUY,CAN,,,0,0,0,0,0,,12/2/26 ซ,0,0,0,
379,50004198,Steam Chemical Integrator(StrerileGage),1030,MAT_BUY,PAC,,,1,0,0,1,1,29/01/2028,29/01/2028,1,0,1,
380,50004230,"สติ๊กเกอร์ระบุวันหมดอายุ,5x4.8cm(1:1000)",1030,200407,ROL,,,0,0,0,0,0,,,60,0,60,
381,,Foley catheter,,,,,,0,0,0,0,0,ขอ OR มาเปลี่ยนก่อนหมดอายุ 1 เดือน,"(16)3/28(2),(14)4/12/29(2)",0,2:2,4,
382,,Urine bag,,,,,,0,0,0,0,0,ขอ OR มาเปลี่ยนก่อนหมดอายุ 1 เดือน,19/6/29(5),0,5,5,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
เพิ่มแผน Case Emergency เบิกใช้ในหน่วยงาน,,,,,,,,,,,,,,,,,,
1,20000695,Tranexamic acid50mg/ml*5ml (Transamin),1030,,Amp,,,,,,,,,,,,,
2,20000170,Cefazolin 1 g.(Fazolin),1030,,VIA,,,,,,,,,,,,,
3,20000486,Metoclopramide HCL10mg/2ml(Nausil),1030,,Amp,,,,,,,,,,,,,
4,20001654,Hydrogen peroxide mouthwash 1% 5L,1030,,GAL,,,,,,,,,,,,,
5,20002648,Paracetamol 1000mg/100ml inj.,1030,,VIA,,,,,,,,,,,,,
6,20000543,Losec 40mg ,1030,,Amp,,,,,,,,,,,,,
7,,Tramadol 50 mg,1030,,Amp,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ยกเลิกแล้ว,,,,,,,,,,,,,,,,,,
1,10100803,ถ่านไฟฉายขนาด C ชนิด Alkaline,1030,MAT_BUY,EA,ยกเลิกเบิก,,0,0,0,0,0,,ยกเลิกเบิก,0,0,0,
2,10102715,ถ่าน Lithium รุ่น CR 2450 (3V),1030,MAT_BUY,EA,ยกเลิกเบิก,,0,0,0,0,0,,คต (ยกเลิกเบิก),1,0,1,
3,10200562,กาวสารพัดประโยชน์(กาวอเนกประสงค์),1030,MAT_BUY,EA,ยกเลิก ไม่ให้มีการเบิกแล้ว,,0,0,0,0,0,,คต (ยกเลิก ไม่ให้มีการเบิกแล้ว),1,0,1,
4,10800268,แบบฟอร์มใบส่งถ่ายภาพรังสี สีขาว(1:200),1030,MAT_BUY,PAC,ไม่ใช้แล้วเก่า,,0,0,0,0,0,,ไม่ใช้แล้วเก่า,0,0,0,
5,20000673,"Sterile water 1000ml, irrigation bott",1030,,BT,ไม่เบิกแล้ว,,0,0,0,0,0,,ไม่เบิกแล้ว เปลี่ยนไปใช้ aquapack,0,0,0,
6,30001868,Micro Suction Filter,1030,MAT_BUY,EA,ไม่ได้ใช้แล้ว,,0,0,0,0,0,,ไม่ได้ใช้แล้ว,0,0,0,
7,50003486,สติ๊กเกอร์ระบุวันหมดอายุ 3Y-Autoclave,2030,MAT_BUY,ROL,เปลี่ยนแบบใหม่แล้ว,,0,0,0,0,0,,,15,0,15,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ไม่ได้ใช้งาน,,,,,,,,,,,,,,,,,,
1,40000897,Code ringขาว,2030,MAT_BUY,BOX,,,0,0,0,0,0,,ไม่ได้ใช้งาน,1,0,1,
2,40000901,Code ringแดง,2030,MAT_BUY,BOX,,,0,0,0,0,0,,,1,0,1,
3,40000904,Code ringฟ้า,2030,MAT_BUY,BOX,,,0,0,0,0,0,,,1,0,1,
4,40000907,Code ringเหลือง,2030,MAT_BUY,BOX,,,0,0,0,0,0,,,1,0,1,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,หมายเหตุ,,,,,,,,,,,,,,,,,
,,ใกล้หมดอายุ ปี 2025,,,,,,,,,,,,,,,,
,,หมดอายุปี 2026,,,,,,,,,,,,,,,,
,,หมดอายุปี 2027,,,,,,,,,,,,,,,,
,,หมดอายุปี 2028,,,,,,,,,,,,,,,,
,,หมดอายุปี 2029,,,,,,,,,,,,,,,,
,,หมดอายุปี 2030,,,,,,,,,,,,,,,,
