Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
61,10101752,ลวดเย็บกระดาษ เบอร์ 35,1030,MAT_BUY,EA,,,20,0,0,20,20,,คต,20,0,20,
62,10101762,ลวดเสียบกระดาษ เบอร์ 1 กลม,1030,MAT_BUY,EA,,,10,0,0,10,10,,คต,9,0,9,
63,10101776,"สก๊อตเทปใส แกน 3"" ขนาด 1/2"" x 72Y",1030,MAT_BUY,ROL,,,10,0,0,10,10,,คต,10,0,10,
64,10101840,สติ๊กเกอร์ตาไก่,1030,MAT_BUY,BOX,,,8,0,0,8,8,,คต,8,0,8,
65,10101855,สันปกเข้าเล่มพลาสติก A4 สันรูด 15 mm,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
66,10101856,สันปกเข้าเล่มพลาสติก A4 สันรูด 10 mm,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
67,10101978,อินเด็กซ์พลาสติก A4 ชนิด 10 หยัก,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
68,10102000,ปากกาเมจิก หัวเดียว ArtLine เล็ก,1030,MAT_BUY,EA,,,5,0,0,5,5,,คต,6,0,6,
69,10102001,ปากกาเมจิก หัวเดียว Art Line ใหญ่,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
70,10102018,สติ๊กเกอร์ขนาด 25x50mm (A10),1030,MAT_BUY,EA,สค 68,360,360,360,0,720,720,,คต (1:15),300,0,300,
71,10102084,แผ่นยางรองตัดกระดาษขนาด 45x60cm.,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
72,10102085,แผ่นยางรองตัดกระดาษขนาด 60 x90 cm,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
73,10102288,สติ๊กเกอร์ใส ขนาด 50x70cm.,1030,MAT_BUY,EA,,,20,0,0,20,20,,คต,10,0,10,
74,10102381,ชั้นใส่เอกสาร 5 ลิ้นชัก,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
75,10102385,ถ่านนาฬิกา ชนิด Lithium รุ่น CR 2032,1030,MAT_BUY,EA,,,5,0,0,5,5,10/2029,คต,14,0,14,
76,10102518,ตรายางแบบต่างๆ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
77,10102551,ใบรายงานผลวัดความดัน ขนาด 57mm x 30m,1030,MAT_BUY,ROL,,,10,0,0,10,10,,ซ,10,0,10,
78,10102621,กระดาษถ่ายเอกสาร 80 แกรม A5(ใบนัดผู้ป่วย),1030,MAT_BUY,RM,,,20,0,0,20,20,,คต,15,0,15,
79,10102668,"Doctor Order Sheet เคมี 2 ชั้น,A4",1030,MAT_BUY,EA,,,50,0,0,50,50,,คต,25,0,25,
80,10201543,ไฟฉาย ขนาดถ่าน 2 ก้อน,1030,MAT_BUY,EA,,,0,0,0,0,0,รอเบิก,,0,0,0,
81,10300002,กระจกส่องหน้า แบบมีด้ามถือ,1030,MAT_BUY,EA,,,10,0,5,5,5,,ปช,2,5,7,
82,10300006,กระดาษชำระ ม้วนเล็ก,1030,MAT_BUY,,,,0,0,0,0,0,,11,0,0,0,
83,10300054,ก้อนดับกลิ่นขนาด 80g,1030,MAT_BUY,EA,,,24,0,0,24,24,,ซ,12,0,12,
84,10300072,แก้วน้ำทรงสูง 14 cm,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
85,10300077,แก้วน้ำพลาสติกใช้แล้วทิ้ง (1BOX=2000EA),1030,MAT_BUY,EA,,,2000,0,0,2000,2000,,ซ (1:80),480,0,480,
86,10300077,แก้วน้ำพลาสติกใช้แล้วทิ้ง (1BOX=2000EA),2030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
87,10300146,ถังขยะ แบบเท้าเหยียบ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
88,10300152,ถังขยะพลาสติก แบบเท้าเหยียบ 5.5 L.,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
89,10300154,ถังขยะพลาสติก แบบเท้าเหยียบ 35 L.,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
90,10300155,ถังขยะพลาสติก แบบเท้าเหยียบ 10L,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
91,10300185,"ถาด 9x14""",2030,MAT_BUY,EA,,,3,0,0,3,3,,,0,0,0,
92,10300195,ถุงขยะดำขนาด 20x20 นิ้ว,1030,MAT_BUY,KG,ตค 68,25,5,25,25,5,5,,ปช(10)/สต(50),15,25,40,
93,10300199,ถุงขยะดำขนาด 24x28 นิ้ว,1030,MAT_BUY,KG,ตค 68,25,5,25,25,5,5,,ปช(20)/สต(25),20,25,45,
94,10300205,ถุงขยะดำขนาด 30x40 นิ้ว,1030,MAT_BUY,KG,ตค 68,25,5,25,25,5,5,,ปช(25),20,25,45,
95,10300293,ถุงใส่ผ้าอนามัยสีขาวขุ่น (1:100),1030,MAT_BUY,PAC,,,5,0,0,5,5,,,15,0,15,
96,10300385,น้ำยาล้างจานขนาด 550 ml,1030,MAT_BUY,BAG,ตค 68,6,3,6,3,6,6,,ซ,3,3,6,
97,10300457,ผงซักฟอก(สำหรับซักมือ) 900g,1030,MAT_BUY,BAG,,,5,0,0,5,5,,,3,0,3,
98,10300479,"ผ้าขนหนู ขนาด 27""x54""",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
99,10300497,"ผ้าเช็ดมือ : ผ้าขนหนู ขนาด 15x30""",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
100,10300549,แผ่นทำความสะอาดชนิดฟองน้ำติดสก๊อตไบร์ท,1030,MAT_BUY,EA,ตค 68,20,10,20,10,20,20,,,0,0,0,
101,10300550,แผ่นฟิล์มถนอมอาหาร 30cm x 30m,1030,MAT_BUY,BOX,,,9,0,0,9,9,,ซ,7,0,7,
102,10300557,"แผ่นใยขัดทำความสะอาด 4x6"" : ภาชนะ",1030,MAT_BUY,EA,,,10,0,0,10,10,,,0,0,0,
103,10300642,ยาฉีดกันยุงชนิดสเปรย์,1030,MAT_BUY,CAN,,,4,0,0,4,4,,ซ,2,0,2,
104,10300669,สเปรย์ปรับอากาศ ขนาด 350 ml,1030,MAT_BUY,CAN,สค 68,6,2,6,2,6,0,,ซ,0,0,0,
105,10300684,"อลูมิเนียมฟอยด์ ขนาด 12"" x 25 ฟุต",1030,MAT_BUY,BOX,,,6,0,0,6,6,,ซ,4,0,4,
106,10300696,เชือกฟางขนาด 0.5 กก. / ม้วน,1030,MAT_BUY,ROL,,,5,0,0,5,5,,11,3,0,3,
107,10300785,ถุงมือสำหรับล้างเครื่องมือ ,1030,MAT_BUY,PAA,,,5,0,0,5,5,,ปช(5)/ซ(4),9,0,9,
108,10300874,Dry Heat Indicator Labell : 1000,1030,MAT_BUY,ROL,,,0,0,0,0,0,,31/10/2025 ไม่ได้ใช้แล้ว,4,0,4,
109,10300884,Steam Chemical Integrator(StrerileGage),1030,MAT_BUY,PAC,,,0,0,0,0,0,,,0,0,0,
110,10300885,EO Indicator Tape (Indox Tape),1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
111,10300890,"ถุงพลาสติกชนิดหูหิ้ว ขนาด 6"" x 14"" (1PACK=1/2KG)",1030,MAT_BUY,KG,,,10,0,0,10,10,,ซ,2,0,2,
112,10300911,"ถังขยะStainlessมีเท้าเหยียบเส้นผศ.12""",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
113,10300920,ดินน้ำมัน,1030,MAT_BUY,PAC,,,1,0,0,1,1,,ซ,2,0,2,
114,10300952,"กระดาษเช็ดมือชนิดม้วน 20cm.x176m.,1ชั้น",1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
115,10300954,กระดาษเช็ดปาก (ป๊อป-อัพ) 1 ชั้น (1BOX=60PACK),1030,MAT_BUY,PAC,,,60,0,0,60,60,,,240,0,240,
116,10300956,"ผ้าห่มชนิดผ้าขนหนูขนาด 60""x80""",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
117,10300976,"แปรงล้างเครื่องมือ,2.5x6x100x250mmมีท่อ",1030,MAT_BUY,EA,,,0,0,0,0,0,ไม่มีประมาณการไว้,,0,0,0,
